,0,1,2,3,4,5,6,7,8,9,10
0,1574,3773,3571,2672,2478,2534,3129,3077,1171.0,2045.0,1539.0
1,1193,376,73,290,3129,1852,3077,1171,1022.0,2045.0,536.0
2,1574,3773,925,1728,2815,2963,3077,364,1171.0,536.0,1867.0
3,3964,3773,4003,928,1852,3077,364,1022,3763.0,2045.0,3859.0
4,1929,3773,1793,3511,1290,3129,3077,364,1171.0,1022.0,2045.0
5,1574,3773,1793,2934,1088,2465,1618,1233,2282.0,2947.0,2211.0
6,3964,509,3214,581,364,1171,1022,3763,2045.0,1366.0,1532.0
7,1193,1249,1663,819,1171,1022,2045,1026,2311.0,1532.0,2472.0
8,1193,1051,3571,3129,1171,3763,2045,536,128.0,1532.0,3771.0
9,2657,1360,1793,1290,3129,1852,364,1022,2045.0,536.0,1927.0
10,1000,3495,3214,3129,1852,364,1171,1022,2045.0,3942.0,1532.0
11,1929,1330,1793,3212,2453,2797,1301,1731,2070.0,3188.0,3860.0
12,3964,333,1663,819,3129,1852,1171,1022,3763.0,536.0,2235.0
13,3730,1033,4003,958,1852,364,1022,3763,1539.0,2472.0,673.0
14,2048,2566,73,1011,3129,3077,364,1171,1022.0,3763.0,2045.0
15,2048,3997,3571,1022,3763,2045,69,2720,1532.0,2472.0,3293.0
16,1574,3773,3214,3313,2986,1870,742,1233,3762.0,3291.0,88.0
17,3730,3773,3214,149,2270,2665,3129,1852,3077.0,364.0,1171.0
18,3730,1033,3104,3411,3129,1852,3077,364,3763.0,536.0,2628.0
19,2048,2527,3214,2990,3129,1852,3077,364,1171.0,2045.0,536.0
20,3433,3796,1695,420,3129,3077,364,1171,1022.0,3763.0,2045.0
21,2589,1800,3214,476,3129,1852,3077,364,1171.0,1022.0,3763.0
22,2657,1360,3214,2621,1852,3077,1171,1022,2045.0,536.0,3555.0
23,416,3971,925,1307,3129,1852,1171,1022,3763.0,536.0,1336.0
24,2048,1848,3214,3675,3077,364,1171,1022,536.0,3479.0,659.0
25,1286,769,73,2838,3077,1171,1022,3763,2045.0,1395.0,2021.0
26,2657,327,73,1852,3077,1171,2628,2515,2472.0,1348.0,2721.0
27,1000,976,73,1852,3077,1171,3763,2045,536.0,1366.0,2721.0
28,1574,3773,1663,25,1233,352,676,2581,3129.0,364.0,1171.0
29,1929,1330,73,3410,153,2070,662,3129,1852.0,3077.0,1171.0
30,3964,354,1663,676,3129,3077,364,1171,1022.0,536.0,271.0
31,2657,1500,73,1789,1852,3077,364,1022,2045.0,536.0,2628.0
32,1929,3773,1793,2870,2947,3129,1852,1171,3763.0,2045.0,536.0
33,1929,1330,1793,1107,2947,1852,364,1171,3763.0,2045.0,1539.0
34,3433,3773,1793,3090,1852,3077,364,1171,3763.0,1976.0,1026.0
35,3035,376,73,1481,1852,364,1022,3763,2045.0,536.0,3447.0
36,3035,333,73,878,3077,1171,1022,3763,2045.0,319.0,2168.0
37,1574,3773,1793,1324,3084,2947,1852,3077,364.0,2045.0,2565.0
38,3132,3495,73,3736,3077,1171,1022,3763,536.0,3460.0,1532.0
